Past,EVT,ACRES
Past Conifer,Agricultural,3360
Past Conifer,Conifer,1927863
Past Conifer,Developed,8863
Past Conifer,Exotics,7679
Past Conifer,Grassland,106303
Past Conifer,Hardwood,3236
Past Conifer,Riparian,16640
Past Conifer,Shrubland,275534
Past Grassland,Agricultural,239
Past Grassland,Conifer,1587
Past Grassland,Developed,377
Past Grassland,Exotics,74
Past Grassland,Grassland,671
Past Grassland,Hardwood,11
Past Grassland,Riparian,24
Past Grassland,Shrubland,1682
Past Hardwood,Agricultural,4
Past Hardwood,Conifer,2387
Past Hardwood,Developed,0
Past Hardwood,Exotics,10
Past Hardwood,Grassland,88
Past Hardwood,Hardwood,6
Past Hardwood,Riparian,2
Past Hardwood,Shrubland,506
Past Riparian,Agricultural,5632
Past Riparian,Conifer,76603
Past Riparian,Developed,2194
Past Riparian,Exotics,740
Past Riparian,Grassland,3335
Past Riparian,Hardwood,161
Past Riparian,Riparian,58061
Past Riparian,Shrubland,8029
Past Shrubland,Agricultural,113
Past Shrubland,Conifer,1439
Past Shrubland,Developed,130
Past Shrubland,Exotics,38
Past Shrubland,Grassland,471
Past Shrubland,Hardwood,4
Past Shrubland,Riparian,50
Past Shrubland,Shrubland,1109
