source,target,value
Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland (past),Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland (present),1654041
Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland (past),Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest (present),920579
Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland (past),Rocky Mountain Lodgepole Pine Forest (present),793513
Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland (past),Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland (present),586260
Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland (past),Northern Rocky Mountain Subalpine Woodland and Parkland (present),393029
Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland (past),Northern Rocky Mountain Subalpine Deciduous Shrubland (present),297517
Northern Rocky Mountain Subalpine Woodland and Parkland (past),Northern Rocky Mountain Subalpine Woodland and Parkland (present),908751
Northern Rocky Mountain Subalpine Woodland and Parkland (past),Northern Rocky Mountain Subalpine Deciduous Shrubland (present),350816
Northern Rocky Mountain Subalpine Woodland and Parkland (past),Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland (present),211247
Northern Rocky Mountain Subalpine Woodland and Parkland (past),Rocky Mountain Subalpine-Montane Mesic Meadow (present),148295
Northern Rocky Mountain Subalpine Woodland and Parkland (past),Rocky Mountain Cliff Canyon and Massive Bedrock (present),104009
Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Larch (past),Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest (present),855377
Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Larch (past),Rocky Mountain Lodgepole Pine Forest (present),138199
Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Larch (past),Northern Rocky Mountain Mesic Montane Mixed Conifer Forest (present),132794
Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Larch (past),Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland (present),77347
Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Ponderosa Pine-Douglas-fir (past),Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest (present),416060
Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Ponderosa Pine-Douglas-fir (past),Rocky Mountain Lodgepole Pine Forest (present),100398
Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Ponderosa Pine-Douglas-fir (past),Northern Rocky Mountain Mesic Montane Mixed Conifer Forest (present),85497
Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Ponderosa Pine-Douglas-fir (past),Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland (present),57973
Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Ponderosa Pine-Douglas-fir (past),Northern Rocky Mountain Montane-Foothill Deciduous Shrubland (present),53423
Rocky Mountain Montane Riparian Systems (past),Northern Rocky Mountain Lower Montane Riparian Woodland (present),182236
Rocky Mountain Montane Riparian Systems (past),Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest (present),150565
Rocky Mountain Montane Riparian Systems (past),Rocky Mountain Lodgepole Pine Forest (present),71037
Rocky Mountain Montane Riparian Systems (past),Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland (present),40585
Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland (past),Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest (present),119641
Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland (past),Rocky Mountain Lodgepole Pine Forest (present),95231
Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland (past),Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland (present),25598
Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland (past),Middle Rocky Mountain Montane Douglas-fir Forest and Woodland (present),21694
Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland (past),Northern Rocky Mountain Montane-Foothill Deciduous Shrubland (present),18350
Northern Rocky Mountain Mesic Montane Mixed Conifer Forest (past),Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest (present),104721
Northern Rocky Mountain Mesic Montane Mixed Conifer Forest (past),Northern Rocky Mountain Mesic Montane Mixed Conifer Forest (present),64955
Northern Rocky Mountain Mesic Montane Mixed Conifer Forest (past),Rocky Mountain Lodgepole Pine Forest (present),22295
Middle Rocky Mountain Montane Douglas-fir Forest and Woodland (past),Rocky Mountain Lodgepole Pine Forest (present),36318
Middle Rocky Mountain Montane Douglas-fir Forest and Woodland (past),Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest (present),30452
Middle Rocky Mountain Montane Douglas-fir Forest and Woodland (past),Middle Rocky Mountain Montane Douglas-fir Forest and Woodland (present),24567
Middle Rocky Mountain Montane Douglas-fir Forest and Woodland (past),Northern Rocky Mountain Montane-Foothill Deciduous Shrubland (present),17423
Middle Rocky Mountain Montane Douglas-fir Forest and Woodland (past),Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland (present),15635
Middle Rocky Mountain Montane Douglas-fir Forest and Woodland (past),Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland (present),10127
